Дата и время      	Тип события	Описание
18.07.2020 6:45:00	Аудит      	Просмотр камеры "17.Бизнес инкубатор левая часть вход" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:45:00	Аудит      	Устройство "118.КПП" сервера "KBGU-AXXON-3": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:45:00	Аудит      	Тревога оценена на устройстве "118.КПП" сервера "KBGU-AXXON-3" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:45:00	Аудит      	Просмотр камеры "118.КПП" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:45:00	Аудит      	Устройство "178.ИТФ - Модуль" сервера "KBGU-AXXON-3": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:45:00	Аудит      	Тревога оценена на устройстве "178.ИТФ - Модуль" сервера "KBGU-AXXON-3" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:59	Аудит      	Просмотр камеры "178.ИТФ - Модуль" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:59	Аудит      	Устройство "22.МедКолледж новый - СКУД" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:59	Аудит      	Тревога оценена на устройстве "22.МедКолледж новый - СКУД" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:59	Аудит      	Просмотр камеры "22.МедКолледж новый - СКУД" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:59	Аудит      	Устройство "21.МедКолледж новый - Холл" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:58	Аудит      	Тревога оценена на устройстве "21.МедКолледж новый - Холл" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:58	Аудит      	Просмотр камеры "21.МедКолледж новый - Холл" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:58	Аудит      	Устройство "107.Общежитие №13 - СКУД" сервера "KBSU-AXXON-5": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:57	Аудит      	Тревога оценена на устройстве "107.Общежитие №13 - СКУД" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:57	Аудит      	Просмотр камеры "107.Общежитие №13 - СКУД" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:56	Аудит      	Устройство "157.Приэльбрусье - Центральный вход" сервера "KBSU-AXXON-5": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:56	Аудит      	Тревога оценена на устройстве "157.Приэльбрусье - Центральный вход" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:56	Аудит      	Просмотр камеры "157.Приэльбрусье - Центральный вход" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:55	Аудит      	Устройство "143.КИТиЭ -Стоянка" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:54	Аудит      	Тревога оценена на устройстве "143.КИТиЭ -Стоянка" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:54	Аудит      	Просмотр камеры "143.КИТиЭ -Стоянка" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:54	Аудит      	Устройство "27.Общежитие №7 - задний двор 1" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:53	Аудит      	Тревога оценена на устройстве "27.Общежитие №7 - задний двор 1" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:53	Аудит      	Просмотр камеры "27.Общежитие №7 - задний двор 1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:52	Аудит      	Устройство "28.Общежитие №7 - задний двор 2" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:52	Аудит      	Тревога оценена на устройстве "28.Общежитие №7 - задний двор 2" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:52	Аудит      	Просмотр камеры "28.Общежитие №7 - задний двор 2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:51	Аудит      	Устройство "86.Новый корпус -Цокольный этаж (стор.  СГИ)" сервера "KBSU-AXXON-5": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:51	Аудит      	Тревога оценена на устройстве "86.Новый корпус -Цокольный этаж (стор.  СГИ)" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:51	Аудит      	Просмотр камеры "86.Новый корпус -Цокольный этаж (стор.  СГИ)" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:51	Аудит      	Устройство "148.Модуль" сервера "KBSU-AXXON-5": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:51	Аудит      	Тревога оценена на устройстве "148.Модуль" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:50	Аудит      	Просмотр камеры "148.Модуль" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:50	Аудит      	Устройство "21.МедКолледж новый - Холл" сервера "KBGU-AXXON-1": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:44:49	Аудит      	Тревога оценена на устройстве "21.МедКолледж новый - Холл" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:56	Аудит      	Просмотр камеры "21.МедКолледж новый - Холл" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:40	Аудит      	Устройство "15.Бизнес инкубатор - СКУД (1 этаж холл)" сервера "KBGU-AXXON-3": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:39	Аудит      	Тревога оценена на устройстве "15.Бизнес инкубатор - СКУД (1 этаж холл)" сервера "KBGU-AXXON-3" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:39	Аудит      	Просмотр камеры "15.Бизнес инкубатор - СКУД (1 этаж холл)" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:39	Аудит      	Устройство "139.ФСК - Стадион" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:39	Аудит      	Тревога оценена на устройстве "139.ФСК - Стадион" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:39	Аудит      	Просмотр камеры "139.ФСК - Стадион" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:38	Аудит      	Устройство "164.Общежитие №7" сервера "KBSU-AXXON-5": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:38	Аудит      	Тревога оценена на устройстве "164.Общежитие №7" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:38	Аудит      	Просмотр камеры "164.Общежитие №7" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:38	Аудит      	Устройство "189.Столб эконом - юрфак - камера 3" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:38	Аудит      	Тревога оценена на устройстве "189.Столб эконом - юрфак - камера 3" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:38	Аудит      	Просмотр камеры "189.Столб эконом - юрфак - камера 3" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:37	Аудит      	Устройство "132.Общ. №10-Центральный вход" сервера "KBGU-AXXON-2": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:34	Аудит      	Тревога оценена на устройстве "132.Общ. №10-Центральный вход" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:34	Аудит      	Просмотр камеры "132.Общ. №10-Центральный вход" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:32	Аудит      	Устройство "68.МедФак ул. Горького 5 - аллея" сервера "KBGU-AXXON-2": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:32	Аудит      	Тревога оценена на устройстве "68.МедФак ул. Горького 5 - аллея" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:32	Аудит      	Просмотр камеры "68.МедФак ул. Горького 5 - аллея" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:31	Аудит      	Устройство "24.МедКолледж новый - Двор сторона общежитии" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:31	Аудит      	Тревога оценена на устройстве "24.МедКолледж новый - Двор сторона общежитии" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:31	Аудит      	Просмотр камеры "24.МедКолледж новый - Двор сторона общежитии" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:30	Аудит      	Устройство "131.Общ.№ 10 - СКУД" сервера "KBSU-AXXON-5": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:30	Аудит      	Тревога оценена на устройстве "131.Общ.№ 10 - СКУД" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:30	Аудит      	Просмотр камеры "131.Общ.№ 10 - СКУД" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:29	Аудит      	Устройство "23.МедКолледж новый - Двор" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:43:28	Аудит      	Тревога оценена на устройстве "23.МедКолледж новый - Двор" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:10	Аудит      	Просмотр камеры "23.МедКолледж новый - Двор" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:07	Аудит      	Устройство "140.Общежитие №3 - СКУД" сервера "KBSU-AXXON-5": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:06	Аудит      	Тревога оценена на устройстве "140.Общежитие №3 - СКУД" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:06	Аудит      	Просмотр камеры "140.Общежитие №3 - СКУД" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:06	Аудит      	Устройство "162.Приэльбрусье - Шлагбаум" сервера "KBGU-AXXON-2": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:06	Аудит      	Тревога оценена на устройстве "162.Приэльбрусье - Шлагбаум" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:06	Аудит      	Просмотр камеры "162.Приэльбрусье - Шлагбаум" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:06	Аудит      	Устройство "70.МедФак ул. Горького 5 - СКУД 1" сервера "KBGU-AXXON-2": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:05	Аудит      	Тревога оценена на устройстве "70.МедФак ул. Горького 5 - СКУД 1" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:05	Аудит      	Просмотр камеры "70.МедФак ул. Горького 5 - СКУД 1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:05	Аудит      	Устройство "22.МедКолледж новый - СКУД" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:05	Аудит      	Тревога оценена на устройстве "22.МедКолледж новый - СКУД" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:05	Аудит      	Просмотр камеры "22.МедКолледж новый - СКУД" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:05	Аудит      	Устройство "60.Гл.корпус - Вход" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:04	Аудит      	Тревога оценена на устройстве "60.Гл.корпус - Вход" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:04	Аудит      	Просмотр камеры "60.Гл.корпус - Вход" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:03	Аудит      	Просмотр камеры "140.Общежитие №3 - СКУД" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:03	Аудит      	Устройство "17.Бизнес инкубатор левая часть вход" сервера "KBGU-AXXON-3": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:03	Аудит      	Тревога оценена на устройстве "17.Бизнес инкубатор левая часть вход" сервера "KBGU-AXXON-3" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:03	Аудит      	Просмотр камеры "17.Бизнес инкубатор левая часть вход" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:02	Аудит      	Устройство "157.Приэльбрусье - Центральный вход" сервера "KBSU-AXXON-5": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:01	Аудит      	Тревога оценена на устройстве "157.Приэльбрусье - Центральный вход" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:01	Аудит      	Просмотр камеры "157.Приэльбрусье - Центральный вход" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:00	Аудит      	Устройство "170.МедФак. Ул.И.Арманд - Двор" сервера "KBGU-AXXON-3": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:00	Аудит      	Тревога оценена на устройстве "170.МедФак. Ул.И.Арманд - Двор" сервера "KBGU-AXXON-3" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:42:00	Аудит      	Просмотр камеры "170.МедФак. Ул.И.Арманд - Двор" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:59	Аудит      	Устройство "27.Общежитие №7 - задний двор 1" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:59	Аудит      	Тревога оценена на устройстве "27.Общежитие №7 - задний двор 1" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:59	Аудит      	Просмотр камеры "27.Общежитие №7 - задний двор 1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:58	Аудит      	Тревога оценена на устройстве "170.МедФак. Ул.И.Арманд - Двор" сервера "KBGU-AXXON-3" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:58	Аудит      	Просмотр камеры "170.МедФак. Ул.И.Арманд - Двор" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:57	Аудит      	Тревога оценена на устройстве "60.Гл.корпус - Вход" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:57	Аудит      	Просмотр камеры "60.Гл.корпус - Вход" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:56	Аудит      	Устройство "159.Приэльбрусье - стоянка" сервера "KBGU-AXXON-2": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:56	Аудит      	Тревога оценена на устройстве "159.Приэльбрусье - стоянка" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:56	Аудит      	Просмотр камеры "159.Приэльбрусье - стоянка" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:55	Аудит      	Устройство "28.Общежитие №7 - задний двор 2" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:54	Аудит      	Тревога оценена на устройстве "28.Общежитие №7 - задний двор 2" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:54	Аудит      	Просмотр камеры "28.Общежитие №7 - задний двор 2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:54	Аудит      	Устройство "121.Общежитие 6 - Лица" сервера "KBGU-AXXON-2": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:53	Аудит      	Тревога оценена на устройстве "121.Общежитие 6 - Лица" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:53	Аудит      	Просмотр камеры "121.Общежитие 6 - Лица" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:53	Аудит      	Устройство "194.Информационный центр КБГУ - кабинет 310" сервера "KBGU-AXXON-4": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:53	Аудит      	Тревога оценена на устройстве "194.Информационный центр КБГУ - кабинет 310" сервера "KBGU-AXXON-4" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:53	Аудит      	Просмотр камеры "194.Информационный центр КБГУ - кабинет 310" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:53	Аудит      	Устройство "21.МедКолледж новый - Холл" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:53	Аудит      	Тревога оценена на устройстве "21.МедКолледж новый - Холл" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:52	Аудит      	Просмотр камеры "21.МедКолледж новый - Холл" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:52	Аудит      	Устройство "129.СГИ - Центральный вход" сервера "KBGU-AXXON-2": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:52	Аудит      	Тревога оценена на устройстве "129.СГИ - Центральный вход" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:52	Аудит      	Просмотр камеры "129.СГИ - Центральный вход" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:52	Аудит      	Устройство "109.МедКолледж новый - корпус №3" сервера "KBSU-AXXON-5": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:52	Аудит      	Тревога оценена на устройстве "109.МедКолледж новый - корпус №3" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:51	Аудит      	Просмотр камеры "109.МедКолледж новый - корпус №3" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:51	Аудит      	Устройство "100.Общ.№6 дача Сталина 2 ворота" сервера "KBGU-AXXON-2": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:51	Аудит      	Тревога оценена на устройстве "100.Общ.№6 дача Сталина 2 ворота" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:51	Аудит      	Просмотр камеры "100.Общ.№6 дача Сталина 2 ворота" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:51	Аудит      	Устройство "99.Общ.№6 дача Сталина" сервера "KBGU-AXXON-2": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:51	Аудит      	Тревога оценена на устройстве "99.Общ.№6 дача Сталина" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:50	Аудит      	Просмотр камеры "99.Общ.№6 дача Сталина" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:50	Аудит      	Устройство "190.Столб эконом - юрфак - камера 4" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:50	Аудит      	Тревога оценена на устройстве "190.Столб эконом - юрфак - камера 4" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:50	Аудит      	Просмотр камеры "190.Столб эконом - юрфак - камера 4" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:50	Аудит      	Устройство "126.Мед. Колл. -1 этаж  холл" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:41:49	Аудит      	Тревога оценена на устройстве "126.Мед. Колл. -1 этаж  холл" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:50	Аудит      	Просмотр камеры "126.Мед. Колл. -1 этаж  холл" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:28	Аудит      	Устройство "28.Общежитие №7 - задний двор 2" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:28	Аудит      	Тревога оценена на устройстве "28.Общежитие №7 - задний двор 2" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:28	Аудит      	Просмотр камеры "28.Общежитие №7 - задний двор 2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:28	Аудит      	Устройство "21.МедКолледж новый - Холл" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:27	Аудит      	Тревога оценена на устройстве "21.МедКолледж новый - Холл" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:27	Аудит      	Просмотр камеры "21.МедКолледж новый - Холл" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:27	Аудит      	Устройство "131.Общ.№ 10 - СКУД" сервера "KBSU-AXXON-5": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:27	Аудит      	Тревога оценена на устройстве "131.Общ.№ 10 - СКУД" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:25	Аудит      	Просмотр архива "Архив AliceBlue" камеры "131.Общ.№ 10 - СКУД" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:25	Аудит      	Просмотр камеры "131.Общ.№ 10 - СКУД" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:25	Аудит      	Устройство "109.МедКолледж новый - корпус №3" сервера "KBSU-AXXON-5": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:24	Аудит      	Тревога оценена на устройстве "109.МедКолледж новый - корпус №3" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:24	Аудит      	Просмотр камеры "109.МедКолледж новый - корпус №3" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:24	Аудит      	Устройство "127.Мед. Колл. - Вход (правая часть)" сервера "KBSU-AXXON-5": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:24	Аудит      	Тревога оценена на устройстве "127.Мед. Колл. - Вход (правая часть)" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:23	Аудит      	Просмотр камеры "127.Мед. Колл. - Вход (правая часть)" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:23	Аудит      	Устройство "164.Общежитие №7" сервера "KBSU-AXXON-5": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:23	Аудит      	Тревога оценена на устройстве "164.Общежитие №7" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:07	Аудит      	Просмотр камеры "164.Общежитие №7" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:39:01	Аудит      	Устройство "139.ФСК - Стадион" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
