Дата и время      	Тип события	Описание
18.07.2020 6:51:03	Аудит      	Тревога оценена на устройстве "133.Общ. №10 - Вход (правая часть)" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:51:03	Аудит      	Просмотр камеры "133.Общ. №10 - Вход (правая часть)" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:51:03	Аудит      	Устройство "61.Гл.корпус - 1 этаж холл часть " сервера "KBGU-AXXON-1": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:51:03	Аудит      	Тревога оценена на устройстве "61.Гл.корпус - 1 этаж холл часть " сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:51:02	Аудит      	Просмотр камеры "61.Гл.корпус - 1 этаж холл часть " пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:51:02	Аудит      	Устройство "28.Общежитие №7 - задний двор 2" сервера "KBGU-AXXON-1": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:51:02	Аудит      	Устройство "28.Общежитие №7 - задний двор 2" сервера "KBGU-AXXON-1": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:51:02	Аудит      	Устройство "28.Общежитие №7 - задний двор 2" сервера "KBGU-AXXON-1": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:51:02	Аудит      	Тревога оценена на устройстве "28.Общежитие №7 - задний двор 2" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:51:01	Аудит      	Просмотр камеры "28.Общежитие №7 - задний двор 2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:51:01	Аудит      	Устройство "27.Общежитие №7 - задний двор 1" сервера "KBGU-AXXON-1": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:51:01	Аудит      	Устройство "27.Общежитие №7 - задний двор 1" сервера "KBGU-AXXON-1": Тревога классифицирована как подтвержденная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:51:00	Аудит      	Устройство "27.Общежитие №7 - задний двор 1" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:51:00	Аудит      	Тревога оценена на устройстве "27.Общежитие №7 - задний двор 1" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:51:00	Аудит      	Просмотр камеры "27.Общежитие №7 - задний двор 1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:51:00	Аудит      	Устройство "178.ИТФ - Модуль" сервера "KBGU-AXXON-3": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:50:59	Аудит      	Тревога оценена на устройстве "178.ИТФ - Модуль" сервера "KBGU-AXXON-3" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:50:17	Аудит      	Просмотр камеры "178.ИТФ - Модуль" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:50:14	Аудит      	Устройство "139.ФСК - Стадион" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:50:14	Аудит      	Тревога оценена на устройстве "139.ФСК - Стадион" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:50:14	Аудит      	Просмотр камеры "139.ФСК - Стадион" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:59	Аудит      	Устройство "132.Общ. №10-Центральный вход" сервера "KBGU-AXXON-2": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:58	Аудит      	Тревога оценена на устройстве "132.Общ. №10-Центральный вход" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
